direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/26,35.53,2020/02/27,33.7535,-1.7764999999999986,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,0,stop-loss,33.7535,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/03/02,34.05,2020/03/03,32.3475,-1.7025000000000006,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,32.3475,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/05,33.47,2020/03/06,31.796499999999998,-1.6735000000000007,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,31.796499999999998,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/10,29.47,2020/03/11,27.996499999999997,-1.4735000000000014,-5.000000000000005,0.95,5.000000000000005,,-1,0,stop-loss,27.996499999999997,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/13,24.01,2020/03/16,22.8095,-1.2005000000000017,-5.000000000000006,0.95,5.000000000000006,,-1,0,stop-loss,22.8095,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/03/18,17.76,2020/03/19,16.872,-0.8880000000000017,-5.000000000000009,0.95,5.000000000000009,,-1,0,stop-loss,16.872,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/03/23,21.07,2020/04/09,27.88,6.809999999999999,32.32083531086853,1.3232083531086853,4.999999999999998,,6.464167062173708,12,exit-rule,20.0165,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/06/12,32.73,2020/06/15,31.0935,-1.636499999999998,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,0,stop-loss,31.0935,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/06/17,33.5,2020/06/22,31.825,-1.6750000000000007,-5.000000000000003,0.95,5.000000000000003,,-1,2,stop-loss,31.825,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/06/24,32.75,2020/06/25,31.1125,-1.6374999999999993,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,0,stop-loss,31.1125,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
