Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           143  
profit                 43   
profitPct              43   
growth                 1    
totalTrades            21   
barCount               49   
maxDrawdown            -4   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           4    
proportionProfitable   1    
percentProfitable      57   
returnOnAccount        11   
averageProfitPerTrade  2    
numWinningTrades       12   
numLosingTrades        9    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          1    
