Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           840     
profit                 740     
profitPct              740     
growth                 8       
totalTrades            1       
barCount               247     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             NaN     
expectency             NaN     
rmultipleStdDev        NaN     
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  740     
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    6       
averageLosingTrade     0       
expectedValue          6       
