Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           105  
profit                 5    
profitPct              5    
growth                 1    
totalTrades            6    
barCount               20   
maxDrawdown            -2   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        2    
averageProfitPerTrade  1    
numWinningTrades       3    
numLosingTrades        3    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          1    
