Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           122     
profit                 22      
profitPct              22      
growth                 1       
totalTrades            1       
barCount               247     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             NaN     
expectency             NaN     
rmultipleStdDev        NaN     
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  22      
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    35      
averageLosingTrade     0       
expectedValue          35      
