direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/14,5.24,2020/02/19,5.16,-0.08000000000000007,-1.5267175572519098,0.9847328244274809,5.000000000000009,,-0.3053435114503814,1,exit-rule,4.978,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/03/12,4.38,2020/03/13,4.161,-0.2190000000000003,-5.000000000000007,0.95,5.000000000000007,,-1,0,stop-loss,4.161,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/17,4.15,2020/03/18,3.9425000000000003,-0.20750000000000002,-5,0.95,5,,-1,0,stop-loss,3.9425000000000003,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/20,3.84,2020/03/23,3.6479999999999997,-0.19200000000000017,-5.000000000000004,0.95,5.000000000000004,,-1,0,stop-loss,3.6479999999999997,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/25,3.12,2020/04/02,2.964,-0.15600000000000014,-5.000000000000004,0.95,5.000000000000004,,-1,5,stop-loss,2.964,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/04/06,3.73,2020/04/07,3.5435,-0.1865000000000001,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,3.5435,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/04/09,3.95,2020/04/13,3.7525000000000004,-0.1974999999999998,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,0,stop-loss,3.7525000000000004,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/04/15,3.31,2020/04/17,3.1445,-0.1655000000000002,-5.000000000000006,0.95,5.000000000000006,,-1,1,stop-loss,3.1445,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/04/21,3.21,2020/04/22,3.0495,-0.16049999999999986,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,0,stop-loss,3.0495,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/04/24,2.92,2020/05/19,3.44,0.52,17.808219178082194,1.178082191780822,4.9999999999999964,,3.5616438356164406,16,exit-rule,2.774,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
1,2020/06/17,3.25,2020/06/19,3.0875,-0.1625000000000001,-5.000000000000003,0.95,5.000000000000003,,-1,1,stop-loss,3.0875,,,[object Object],26.67,33.28,24.53,32.7,35324406,2020-12-02T00:00:00.000Z,1,5,0,20.822666666666667,32.53142857142858,22.299714859985137,30.616883357722294,75.08896797153025
1,2020/06/23,3.14,2020/06/30,2.983,-0.15700000000000003,-5.000000000000001,0.95,5.000000000000001,,-1,4,stop-loss,2.983,,,[object Object],32.19,38.2229,31.912,37.81,17141785,2020-12-10T00:00:00.000Z,1,5,0,24.209666666666667,33.94428571428572,26.265067986968056,34.14909374213368,66.62585700293829
1,2020/07/02,3.09,2020/07/08,3.49,0.40000000000000036,12.94498381877024,1.1294498381877023,5.000000000000003,,2.588996763754046,2,exit-rule,2.9354999999999998,,,[object Object],36.2,41,36.02,39.29,18830507,2020-12-16T00:00:00.000Z,1,9,0,27.049666666666663,36.78857142857142,28.944892158262512,36.66072887934699,52.57510729613734
1,2020/08/11,3.64,2020/08/12,3.458,-0.18199999999999994,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,3.458,,,[object Object],3.07,3.23,3,3.16,2329607,2020-02-19T00:00:00.000Z,1,4,0,2.1990133333333333,2.5828571428571427,24.070233012094832,2.72169980283891,73.30877046378242
