Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           98   
profit                 -2   
profitPct              -2   
growth                 1    
totalTrades            1    
barCount               247  
maxDrawdown            -2   
maxDrawdownPct         -2   
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -2   
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -1   
expectedValue          -1   
