timestamp,open,high,low,close,volume
2020-08-28,504.0500,505.7700,498.3100,499.2300,46907479
2020-08-27,508.5700,509.9400,495.3300,500.0400,38888096
2020-08-26,504.7165,507.9700,500.3300,506.0900,40755567
2020-08-25,498.7900,500.7172,492.2100,499.3000,52873947
2020-08-24,514.7900,515.1400,495.7450,503.4300,86484442
2020-08-21,477.0500,499.4720,477.0000,497.4800,84513660
2020-08-20,463.0000,473.5680,462.9335,473.1000,31726797
2020-08-19,463.9330,468.6500,462.4400,462.8300,36384502
2020-08-18,457.4100,464.0000,456.0300,462.2500,26408385
2020-08-17,464.2500,464.3500,455.8501,458.4300,29431414
2020-08-14,459.3150,460.0000,452.1800,459.6300,41391302
2020-08-13,457.7200,464.1700,455.7100,460.0400,52520516
2020-08-12,441.9900,453.1000,441.1900,452.0400,41486205
2020-08-11,447.8750,449.9300,436.4267,437.5000,46975594
2020-08-10,450.4000,455.1000,440.0000,450.9100,53100856
2020-08-07,452.8200,454.7000,441.1700,444.4500,49511403
2020-08-06,441.6200,457.6500,439.1900,455.6100,50607225
2020-08-05,437.5100,441.5700,435.5900,440.2500,30497988
2020-08-04,436.5300,443.1600,433.5500,438.6600,43198092
2020-08-03,432.8000,446.5457,431.5700,435.7500,77037847
2020-07-31,411.5350,425.6600,403.3000,425.0400,93573867
2020-07-30,376.7500,385.1900,375.0700,384.7600,39532505
2020-07-29,375.0000,380.9200,374.8500,380.1600,22582314
2020-07-28,377.4700,378.1986,372.9900,373.0100,25906375
2020-07-27,374.8400,379.6200,373.9200,379.2400,30303548
2020-07-24,363.9500,371.8800,356.5800,370.4600,46359716
2020-07-23,387.9935,388.3100,368.0390,371.3800,49251108
2020-07-22,386.7700,391.9000,386.4100,389.0900,22250413
2020-07-21,396.6900,397.0000,386.9700,388.0000,25627347
2020-07-20,385.6700,394.0000,384.2500,393.4300,22397208
2020-07-17,387.9500,388.5900,383.3600,385.3100,23046755
2020-07-16,386.2500,389.6200,383.6200,386.0900,27645927
2020-07-15,395.9600,396.9900,385.9600,390.9000,38306874
2020-07-14,379.3600,389.0200,375.5100,388.2300,42748119
2020-07-13,389.0600,399.8200,381.0300,381.9100,47913079
2020-07-10,381.3400,383.9200,378.8200,383.6800,22564330
2020-07-09,385.0500,385.2700,378.6900,383.0100,31420357
2020-07-08,376.7200,381.5000,376.3600,381.3700,29274479
2020-07-07,375.4100,378.6200,372.2300,372.6900,28206999
2020-07-06,370.0000,375.7800,369.8700,373.8500,29745936
2020-07-02,367.8500,370.4700,363.6400,364.1100,28814516
2020-07-01,365.1200,367.3600,363.9100,364.1100,27690454
2020-06-30,360.0800,365.9800,360.0000,364.8000,35055821
2020-06-29,353.2500,362.1736,351.2800,361.7800,32661519
2020-06-26,364.4100,365.3200,353.0200,353.6300,51314211
2020-06-25,360.7000,365.0000,357.5700,364.8400,34380628
2020-06-24,365.0000,368.7900,358.5200,360.0600,48155849
2020-06-23,364.0000,372.3800,362.2700,366.5300,53038869
2020-06-22,351.3400,359.4600,351.1500,358.8700,33861316
2020-06-19,354.6400,356.5600,345.1500,349.7200,66118952
2020-06-18,351.4100,353.4500,349.2200,351.7300,24205096
2020-06-17,355.1500,355.4000,351.0900,351.5900,28601626
2020-06-16,351.4600,353.2000,344.7200,352.0800,41357182
2020-06-15,333.2500,345.6800,332.5800,342.9900,34702230
2020-06-12,344.7200,347.8000,334.2200,338.8000,50036513
2020-06-11,349.3100,351.0600,335.4800,335.9000,50415613
2020-06-10,347.9000,354.7700,346.0900,352.8400,41662938
2020-06-09,332.1400,345.6100,332.0100,343.9900,36928091
2020-06-08,330.2500,333.6000,327.3200,333.4600,23913634
2020-06-05,323.3500,331.7500,323.2300,331.5000,34312550
2020-06-04,324.3900,325.6200,320.7800,322.3200,21890091
2020-06-03,324.6600,326.2000,322.3000,325.1200,26122804
2020-06-02,320.7500,323.4400,318.9300,323.3400,21910704
2020-06-01,317.7500,322.3500,317.2100,321.8500,20254653
2020-05-29,319.2500,321.1500,316.4700,317.9400,38399532
2020-05-28,316.7700,323.4400,315.6300,318.2500,33449103
2020-05-27,316.1400,318.7100,313.0900,318.1100,28236274
2020-05-26,323.5000,324.2400,316.5000,316.7300,31380454
2020-05-22,315.7700,319.2300,315.3500,318.8900,20450754
2020-05-21,318.6600,320.8900,315.8700,316.8500,25672211
2020-05-20,316.6800,319.5200,316.5200,319.2300,27876215
2020-05-19,315.0300,318.5200,313.0100,313.1400,25432385
2020-05-18,313.1700,316.5000,310.3200,314.9600,33843125
2020-05-15,300.3500,307.9000,300.2100,307.7100,41587094
2020-05-14,304.5100,309.7900,301.5300,309.5400,39732269
2020-05-13,312.1500,315.9500,303.2100,307.6500,50155639
2020-05-12,317.8300,319.6900,310.9100,311.4100,40575263
